Region,Rezai,Karrubi,Ahmadinejad,Mousavi
East Azerbaijan,16920,7246,1131111,837858
West Azerbaijan,12199,21609,623946,656508
Ardabil,6578,2319,325911,302825
Isfahan,51788,14579,1799255,746697
Ilam,5221,7471,199654,96826
Bushehr,7608,3563,299357,177268
Tehran,147487,67334,3819495,3371523
Chahar Mahaal and Bakhtiari,22689,4127,359578,106099
South Khorasan,3962,928,285984,90363
Khorasan Razavi,44809,13561,2214801,884570
North Khorasan,4129,2478,341104,113218
Khuzestan,139124,15934,1303129,552636
Zanjan,7276,2223,444480,126561
Semnan,4440,2147,295177,77754
Sistan and Baluchestan,6616,12504,450269,507946
Fars,23871,16277,1758026,706764
Qazvin,7978,2690,498061,177542
Qom,16297,2314,422457,148467
Kurdistan,7140,13862,315689,261772
Kerman,12016,4977,1160446,318250
Kermanshah,11258,10798,573568,374188
Kohgiluyeh & Boyer-Ahmad,8542,4274,253962,98937
Golestan,5987,10097,515211,325806
Gilan,12022,7183,998573,453806
Lorestan,14920,44036,677829,219156
Mazandaran,19587,10050,1289257,585373
Markazi,10057,4675,572988,190349
Hormozgan,7237,5126,482990,241988
Hamadan,13117,12032,765723,218481
Yazd,8406,2565,337178,255799
