STATE,TOTAL VOTES,BARACK OBAMA,JOHN McCAIN
Alabama,2099819,813479,1266546
Alaska,326197,123594,193841
Arizona,2293475,1034707,1230111
Arkansas,1086617,422310,638017
California,13561900,8274473,5011781
Colorado,2401361,1288576,1073589
Connecticut,1646792,997772,629428
Delaware,412412,255459,152374
Dist. of Col.,265853,245800,17367
Florida,8390744,4282074,4045624
Georgia,3924440,1844137,2048744
Hawaii,453568,325871,120566
Idaho,655032,236440,403012
Illinois,5523051,3419673,2031527
Indiana,2751054,1374039,1345648
Iowa,1543662,828940,682379
Kansas,1235872,514765,699655
Kentucky,1826508,751985,1048462
Louisiana,1960761,782989,1148275
Maine,731163,421923,295273
Maryland,2631596,1629467,959862
Massachusetts,3080985,1904097,1108854
Michigan,5001766,2872579,2048639
Minnesota,2910369,1573354,1275409
Mississippi,1289865,554662,724597
Missouri,2925205,1441911,1445814
Montana,490109,231667,242763
Nebraska,801281,333319,452979
Nevada,967848,533736,412827
New Hampshire,707611,384826,316534
New Jersey,3868237,2215422,1613207
New Mexico,830158,472422,346832
New York,7591233,4769700,2742298
North Carolina,4310789,2142651,2128474
North Dakota,316621,141278,168601
Ohio,5698260,2933388,2674491
Oklahoma,1462661,502496,960165
Oregon,1827864,1037291,738475
Pennsylvania,6034745,3276363,2655885
Rhode Island,469767,296571,165391
South Carolina,1920969,862449,1034896
South Dakota,381975,170924,203054
Tennessee,2599749,1087437,1479178
Texas,8077795,3528633,4479328
Utah,952370,327670,596030
Vermont,325046,219262,98974
Virginia,3723260,1959532,1725005
Washington,3036878,1750848,1229216
West Virginia,713362,303857,397466
Wisconsin,2983417,1677211,1262393
Wyoming,256035,82868,164958
