SetMemory 10
setReplacement FIFO
setSearchStructure BinarySearch
Read g
Read h
Read a
Read b
Read k
Read h
Read d
Read p
Read l
Read b
Read j
Read l
Read t
Read k
Read a
Read c
Read i
Read b
Read k
Read c
Read d
Read p
Read q
Read b
Read p
Read e
Read t
Read c
Read o
Read c
Read a
Read b
Read k
Read o
Read o
Read p
Read l
Read f
Read p
Read r
Read i
Read c
Read v
Read v
Read q
Read b
Read k
Read t
Read d
Read p
Read y
Read v
Read p
Read t
Read t
Read c
Read a
Read c
Read t
Read b
Read k
Read c
Read i
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read t
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read i
Read t
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read l
Read b
Read p
Read t
Read t
Read c
Read i
Read c
Read a
Read w
Read k
Read c
Read d
Read p
Read t
Read b
Read p
Read e
Read t
Read c
Read i
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read b
Read i
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read c
Read u
Read p
Read y
Read i
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read i
Read c
Read t
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read l
Read b
Read n
Read e
Read t
Read c
Read f
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read t
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read n
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read l
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read z
Read t
Read c
Read a
Read n
Read a
Read b
Read k
Read c
Read d
Read u
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read f
Read d
Read x
Read y
Read z
Read p
Read i
Read t
Read c
Read a
Read l
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read z
Read b
Read i
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read v
Read a
Read i
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read l
Read k
Read w
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read l
Read a
Read c
Read f
Read b
Read n
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read z
Read a
Read g
Read h
Read a
Read b
Read n
Read h
Read d
Read p
Read y
Read b
Read j
Read e
Read t
Read k
Read a
Read c
Read a
Read n
Read k
Read v
Read d
Read p
Read q
Read b
Read p
Read e
Read t
Read l
Read o
Read c
Read a
Read b
Read k
Read x
Read o
Read p
Read p
Read b
Read p
Read r
Read v
Read c
Read v
Read v
Read q
Read b
Read k
Read t
Read n
Read p
Read y
Read b
Read n
Read t
Read t
Read f
Read a
Read c
Read t
Read b
Read k
Read c
Read t
Read p
Read v
Read b
Read p
Read e
Read t
Read c
Read t
Read c
Read n
Read b
Read k
Read c
Read d
Read p
Read n
Read t
Read s
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read w
Read b
Read v
Read s
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read c
Read d
Read s
Read n
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read s
Read c
Read d
Read p
Read l
Read b
Read p
Read e
Read t
Read c
Read a
Read f
Read a
Read b
Read k
Read m
Read d
Read p
Read y
Read r
Read p
Read e
Read n
Read c
Read a
Read c
Read a
Read b
Read k
Read c
Read t
Read r
Read m
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read n
Read k
Read c
Read d
Read p
Read m
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read r
Read b
Read u
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read m
Read a
Read c
Read a
Read b
Read t
Read c
Read n
Read r
Read y
Read b
Read x
Read e
Read t
Read c
Read m
Read f
Read u
Read b
Read k
Read c
Read d
Read r
Read y
Read m
Read p
Read e
Read t
Read n
Read a
Read c
Read a
Read b
Read r
Read m
Read d
Read p
Read y
Read b
Read p
Read z
Read t
Read c
Read n
Read c
Read a
Read l
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read r
Read c
Read a
Read b
Read k
Read c
Read d
Read n
Read y
Read z
Read p
Read e
Read t
Read r
Read a
Read f
Read a
Read v
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read m
Read c
Read a
Read c
Read l
Read b
Read n
Read c
Read d
Read p
Read y
Read b
Read w
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read q
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read z
Read k
Read c
Read d
Read m
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read q
Read k
Read c
Read d
Read p
Read y
Read b
Read m
Read e
Read t
Read z
Read a
Read g
Read h
Read a
Read b
Read k
Read h
Read d
Read p
Read y
Read b
Read j
Read e
Read t
Read k
Read l
Read c
Read i
Read f
Read k
Read c
Read x
Read p
Read q
Read b
Read p
Read e
Read t
Read c
Read o
Read c
Read a
Read b
Read k
Read o
Read o
Read p
Read p
Read b
Read p
Read r
Read i
Read c
Read v
Read v
Read q
Read b
Read k
Read t
Read d
Read p
Read y
Read b
Read p
Read t
Read t
Read c
Read a
Read c
Read t
Read b
Read k
Read c
Read x
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read t
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read i
Read t
Read p
Read e
Read t
Read c
Read a
Read l
Read a
Read b
Read k
Read c
Read f
Read p
Read y
Read b
Read p
Read t
Read t
Read c
Read i
Read c
Read a
Read b
Read x
Read c
Read d
Read p
Read t
Read b
Read p
Read e
Read t
Read c
Read i
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read b
Read i
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read i
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read u
Read i
Read c
Read t
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read c
Read d
Read f
Read y
Read b
Read n
Read e
Read t
Read c
Read a
Read w
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read f
Read c
Read a
Read c
Read l
Read b
Read t
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read n
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read w
Read a
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read z
Read t
Read c
Read a
Read n
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read z
Read p
Read i
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read v
Read b
Read i
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read i
Read a
Read w
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read l
Read c
Read a
Read c
Read a
Read z
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read n
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read z
Read a
Read g
Read h
Read a
Read b
Read n
Read h
Read d
Read p
Read y
Read b
Read j
Read e
Read t
Read k
Read a
Read c
Read a
Read n
Read k
Read w
Read d
Read p
Read q
Read b
Read p
Read e
Read t
Read n
Read o
Read c
Read a
Read b
Read k
Read o
Read o
Read f
Read p
Read b
Read p
Read r
Read v
Read c
Read v
Read v
Read q
Read b
Read k
Read t
Read n
Read p
Read y
Read b
Read n
Read t
Read t
Read c
Read a
Read c
Read t
Read b
Read k
Read c
Read t
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read t
Read c
Read n
Read b
Read k
Read c
Read d
Read p
Read n
Read t
Read s
Read e
Read t
Read c
Read f
Read c
Read a
Read w
Read k
Read c
Read d
Read p
Read y
Read l
Read p
Read s
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read c
Read d
Read s
Read n
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read s
Read c
Read d
Read p
Read u
Read b
Read p
Read e
Read t
Read c
Read a
Read r
Read a
Read b
Read k
Read m
Read d
Read p
Read y
Read r
Read p
Read e
Read n
Read c
Read a
Read c
Read a
Read b
Read k
Read c
Read f
Read r
Read m
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read n
Read k
Read c
Read d
Read p
Read m
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read r
Read b
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read m
Read a
Read c
Read a
Read b
Read t
Read c
Read n
Read r
Read y
Read x
Read p
Read e
Read t
Read c
Read m
Read c
Read a
Read b
Read l
Read c
Read d
Read r
Read y
Read m
Read p
Read e
Read t
Read n
Read a
Read c
Read a
Read b
Read r
Read m
Read d
Read p
Read y
Read b
Read p
Read z
Read t
Read c
Read n
Read c
Read a
Read r
Read k
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read r
Read c
Read f
Read b
Read k
Read c
Read d
Read n
Read y
Read z
Read p
Read e
Read t
Read r
Read a
Read c
Read a
Read b
Read k
Read c
Read x
Read p
Read y
Read b
Read p
Read e
Read m
Read c
Read a
Read c
Read z
Read b
Read n
Read c
Read d
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read q
Read d
Read l
Read y
Read b
Read p
Read e
Read t
Read c
Read v
Read c
Read a
Read z
Read k
Read c
Read d
Read m
Read y
Read b
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read q
Read k
Read c
Read d
Read p
Read y
Read b
Read m
Read e
Read t
Read z
Read a
Read g
Read h
Read a
Read b
Read k
Read h
Read d
Read p
Read y
Read b
Read j
Read e
Read t
Read k
Read a
Read c
Read i
Read b
Read x
Read c
Read d
Read p
Read q
Read b
Read p
Read e
Read t
Read c
Read o
Read c
Read a
Read b
Read k
Read l
Read o
Read p
Read p
Read b
Read p
Read r
Read i
Read c
Read v
Read v
Read q
Read b
Read k
Read t
Read d
Read p
Read y
Read b
Read p
Read t
Read t
Read c
Read a
Read c
Read t
Read b
Read k
Read c
Read i
Read p
Read y
Read b
Read p
Read e
Read t
Read c
Read t
Read c
Read a
Read b
Read k
Read c
Read d
Read p
Read i
Read f
Read p
Read e
Read t
Read c
Read a
Read c
Read a
Read b
Read k
Read c
Read l
Read p
Read y
